state,trump_2016_vote_share,trump_won,mask_requirement_detail,maskreq_effective_date,State_FIPS,State_Population,Pct_White_Non_Hispanic,Pct_Population_in_Poverty,Median_Household_Income,Pct_Population_No_Health_Insurance,effective,enforcement,date,fips,cases,deaths,total_cases_per100k,total_deaths_per100k,m_mandate,n_days
Alabama,62.10%,Yes,Entire State,7/16/20,1.0,4864680.0,65.71305821,17.48974317,48486.0,9.978474579,4/4/2020 - 4/30/2020,No,2020-09-28,1,152983,2501,15.2983,0.2501,1,27
Alaska,51.30%,Yes,Parts of State,,2.0,738516.0,61.03510283,10.80446915,76715.0,14.41746743,3/28/2020 - 4/24/2020,Yes,2020-09-28,2,8477,52,0.8477,0.0052,0,28
Arizona,48.10%,Yes,Parts of State (Employees Only),,4.0,6946685.0,55.07498901,16.08770678,56213.0,10.94291392,3/31/2020 - 5/15/2020,Yes,2020-09-28,4,217513,5624,21.7513,0.5624,0,46
Arkansas,60.60%,Yes,Entire State,7/20/20,5.0,2990671.0,72.68766775,17.57962358,45726.0,9.037173981,,,2020-09-28,5,82049,1329,8.2049,0.1329,1,0
California,31.50%,No,Entire State,6/18/20,6.0,39148760.0,37.53844566,14.28667541,71228.0,8.48598182,3/19/2020 - Until lifted,Yes,2020-09-28,6,814796,15641,81.4796,1.5641,1,194
Colorado,43.30%,No,Entire State,7/17/20,8.0,5531141.0,68.30800372,10.91541544,68811.0,8.123337207,3/26/2020 - 4/26/2020,Yes,2020-09-28,8,69967,2052,6.9967,0.2052,1,32
Connecticut,40.90%,No,Entire State,4/17/20,9.0,3581504.0,67.53296939,10.02759503,76106.0,5.575186794,3/23/2020 - 5/20/2020,No,2020-09-28,9,57147,4503,5.7147,0.4503,1,59
Delaware,41.70%,No,Entire State,5/1/20,10.0,949495.0,62.73050411,11.88704289,65627.0,6.043479331,3/24/2020 - 5/31/2020,Yes,2020-09-28,10,20389,634,2.0389,0.0634,1,69
Florida,48.60%,Yes,Parts of State,,12.0,20598139.0,54.3585855,14.78724629,53267.0,13.52758648,4/3/2020 - 4/30/2020,No,2020-09-28,12,701294,14036,70.1294,1.4036,0,28
Georgia,50.40%,Yes,Parts of State (Employees Only),,13.0,10297484.0,53.18232104,16.03754491,55679.0,13.74500256,4/3/2020 - 4/30/2020,Yes,2020-09-28,13,298963,6803,29.8963,0.6803,0,28
Hawaii,30.00%,No,Entire State,4/20/20,15.0,1422029.0,22.11881755,9.938812945,78084.0,4.058641029,3/25/2020 - 5/31/2020,Yes,2020-09-28,15,12351,131,1.2351,0.0131,1,68
Idaho,59.20%,Yes,Parts of State,,16.0,1687809.0,82.21629343,13.81619574,53089.0,11.02674968,3/25/2020 - 4/30/2020,Yes,2020-09-28,16,41386,460,4.1386,0.046,0,37
Illinois,38.40%,No,Entire State,5/1/20,17.0,12821497.0,61.57070426,13.060497,63575.0,7.344750426,3/25/2020 - 5/31/2020,Yes,2020-09-28,17,293169,8877,29.3169,0.8877,1,68
Indiana,56.50%,Yes,Entire State,7/27/20,18.0,6637426.0,79.47601977,14.1142855,54325.0,9.123489342,3/24/2020 - 5/1/2020,Yes,2020-09-28,18,120581,3591,12.0581,0.3591,1,39
Iowa,51.10%,Yes,Parts of State,,19.0,3132499.0,86.06189499,11.66888627,58580.0,4.936121692,,,2020-09-28,19,87256,1324,8.7256,0.1324,0,0
Kansas,56.20%,Yes,Entire State,7/2/20,20.0,2908776.0,76.13315704,12.3991472,57422.0,9.002540598,3/30/2020 - 5/3/2020,No,2020-09-28,20,59763,641,5.9763,0.0641,1,35
Kentucky,62.50%,Yes,Entire State,7/10/20,21.0,4440204.0,84.77272666,17.94568738,48392.0,6.091441857,3/6/2020 - 5/15/2020,No,2020-09-28,21,71003,1195,7.1003,0.1195,1,71
Louisiana,58.10%,Yes,Entire State,7/13/20,22.0,4663616.0,58.84414583,19.38375822,47942.0,10.6839817,3/22/2020 - 5/15/2020,Yes,2020-09-28,22,166315,5480,16.6315,0.548,1,55
Maine,44.90%,No,Entire State,5/1/20,23.0,1332813.0,93.37581491,12.47064357,55425.0,8.321051218,4/2/2020 - 5/31/2020,Yes,2020-09-28,23,5300,140,0.53,0.014,1,60
Maryland,33.90%,No,Entire State,4/18/20,24.0,6003435.0,51.38504873,9.442021136,81868.0,6.468914995,3/5/2020 - Until lifted,Yes,2020-09-28,24,124371,3938,12.4371,0.3938,1,208
Massachusetts,32.80%,No,Entire State,5/6/20,25.0,6830193.0,72.18554439,10.77205503,77378.0,2.804463874,3/24/2020 - 5/18/2020,No,2020-09-28,25,131072,9415,13.1072,0.9415,1,56
Michigan,47.30%,Yes,Entire State,4/26/20,26.0,9957488.0,75.21345745,14.97227421,54938.0,6.062921378,3/24/2020 - 5/28/2020,No,2020-09-28,26,135782,7052,13.5782,0.7052,1,66
Minnesota,44.90%,No,Entire State,7/25/20,27.0,5527358.0,80.29280897,10.13099703,68411.0,4.657997447,3/27/2020 - 5/17/2020,Yes,2020-09-28,27,97690,2067,9.769,0.2067,1,52
