state,effective,enforcement
Alabama,4/4/2020 - 4/30/2020,No
Alaska,3/28/2020 - 4/24/2020,Yes
Arizona,3/31/2020 - 5/15/2020,Yes
Arkansas,,
California,3/19/2020 - Until lifted,Yes
Colorado,3/26/2020 - 4/26/2020,Yes
Connecticut,3/23/2020 - 5/20/2020,No
Delaware,3/24/2020 - 5/31/2020,Yes
District of Columbia,4/1/2020 - 5/15/2020,Yes
Florida,4/3/2020 - 4/30/2020,No
Georgia,4/3/2020 - 4/30/2020,Yes
Hawaii,3/25/2020 - 5/31/2020,Yes
Idaho,3/25/2020 - 4/30/2020,Yes
Illinois,3/25/2020 - 5/31/2020,Yes
Indiana,3/24/2020 - 5/1/2020,Yes
Iowa,,
Kansas,3/30/2020 - 5/3/2020,No
Kentucky,3/6/2020 - 5/15/2020,No
Louisiana,3/22/2020 - 5/15/2020,Yes
Maine,4/2/2020 - 5/31/2020,Yes
Maryland,3/5/2020 - Until lifted,Yes
Massachusetts,3/24/2020 - 5/18/2020,No
Michigan,3/24/2020 - 5/28/2020,No
Minnesota,3/27/2020 - 5/17/2020,Yes
Mississippi,3/31/2020 - 5/11/2020,Yes
Missouri,4/6/2020 - 5/3/2020,No
Montana,3/29/2020 - 4/26/2020,Yes
Nebraska,,
Nevada,4/2/2020 - 5/9/2020,Yes
New Hampshire,3/27/2020 - 6/15/2020,Yes
New Jersey,3/21/2020 - 6/9/2020,Yes
New Mexico,3/24/2020 - 5/31/2020,No
New York,3/22/2020 - 5/28/2020,No
North Carolina,3/30/2020 - 5/22/2020,Yes
North Dakota,,
Ohio,3/23/2020 - 5/29/2020,Yes
Oklahoma,3/24/2020 - 5/6/2020,No
Oregon,3/23/2020 - Until lifted,Yes
Pennsylvania,3/23/2020 - 6/4/2020,No
Puerto Rico,3/15/2020 - 6/12/2020,Yes
Rhode Island,3/28/2020 - 5/8/2020,No
South Carolina,4/6/2020 - 5/4/2020,Yes
South Dakota,,
Tennessee,3/31/2020 - 4/30/2020,No
Texas,3/31/2020 - 4/30/2020,Yes
Utah,3/27/2020 - 5/1/2020,No
Vermont,3/24/2020 - 5/15/2020,No
Virginia,3/24/2020 - 6/10/2020,Yes
Washington,3/25/2020 - 5/31/2020,Yes
WestVirginia,3/24/2020 - 5/4/2020,Yes
Wisconsin,3/25/2020 - 5/13/2020,Yes
Wyoming,,
